"group","results","se","(lower","upper)","missInfo"
"White",0.442262025092253,0.0112716034029874,0.420033377228642,0.464490672955864,"15 %"
"Black",0.708785766987195,0.0229182999368081,0.662696155015688,0.754875378958702,"32 %"
"Latino",0.761857479499492,0.0184674042141174,0.725011327895036,0.798703631103949,"26 %"
"Other",0.593244348671555,0.060951168529426,0.4720332907387,0.71445540660441,"24 %"
"All Working Households",0.519186832920877,0.0109218164965767,0.497095333783009,0.541278332058745,"35 %"
