"name","results","se","(lower","upper)","missInfo","race","percentile"
"3:networth.0.1",232,125.233772899439,-14.3968174902027,478.396817490203,"12 %","Latino",0.1
"1:networth.0.11",7050.2,760.549829024821,5535.63711599436,8564.76288400564,"25 %","white",0.11
"2:networth.0.11",-9902,2827.86010834971,-15462.7872862387,-4341.21271376132,"11 %","Black",0.11
"3:networth.0.11",282,228.460076621313,-165.786156247163,729.786156247163,"1 %","Latino",0.11
"1:networth.0.12",8828,856.42919902165,7120.45431569751,10535.5456843025,"26 %","white",0.12
"2:networth.0.12",-7538,3012.68935207167,-13457.3769813066,-1618.6230186934,"9 %","Black",0.12
"3:networth.0.12",366,408.221102512686,-434.155618667979,1166.15561866798,"2 %","Latino",0.12
"1:networth.0.13",10230.4,953.412355997859,8339.62042444224,12121.1795755578,"21 %","white",0.13
"2:networth.0.13",-4268,3028.33342195653,-10312.6919058865,1776.69190588654,"27 %","Black",0.13
"3:networth.0.13",516,661.224863327907,-780.418913249451,1812.41891324945,"3 %","Latino",0.13
"1:networth.0.14",12066,999.08210978686,10099.0293004152,14032.9706995848,"13 %","white",0.14
"2:networth.0.14",-2623.4,2093.43242399251,-6742.42282995718,1495.62282995718,"12 %","Black",0.14
"3:networth.0.14",973,936.727601069073,-869.746977247894,2815.74697724789,"12 %","Latino",0.14
"1:networth.0.15",14519,1577.5832137969,11245.729549714,17792.270450286,"47 %","white",0.15
"2:networth.0.15",-1132,1681.24707583644,-4565.01797539117,2301.01797539117,"40 %","Black",0.15
"3:networth.0.15",1882,1165.31326416845,-433.125070713799,4197.1250707138,"23 %","Latino",0.15
"1:networth.0.16",16994,2040.94057625167,12968.541951339,21019.458048661,"15 %","white",0.16
"2:networth.0.16",-181.8,886.014874742495,-1921.98177987074,1558.38177987074,"9 %","Black",0.16
"3:networth.0.16",2646.4,1111.71922431168,464.640289494491,4828.15971050551,"7 %","Latino",0.16
"1:networth.0.17",20764,1899.24748010682,16967.9091471508,24560.0908528492,"28 %","white",0.17
"2:networth.0.17",0.6,436.801756356634,-855.515710843764,856.715710843764,"0 %","Black",0.17
"3:networth.0.17",3612.2,1100.22170481121,1451.51496402415,5772.88503597585,"8 %","Latino",0.17
"1:networth.0.18",24789,3307.57402626999,18088.4991944475,31489.5008055525,"36 %","white",0.18
"2:networth.0.18",42.6,191.630322736605,-333.363883487888,418.563883487889,"6 %","Black",0.18
"3:networth.0.18",4432.2,1194.54005009462,2056.78754521908,6807.61245478092,"24 %","Latino",0.18
"1:networth.0.19",29420.4,2952.30205127657,23594.0330392982,35246.7669607018,"16 %","white",0.19
"2:networth.0.19",98,158.652754334682,-212.953770086985,408.953770086985,"0 %","Black",0.19
"3:networth.0.19",5102.2,1148.36888849274,2838.48546891009,7365.91453108991,"15 %","Latino",0.19
"1:networth.0.2",34033,3894.04910520016,26324.4766291835,41741.5233708165,"19 %","white",0.2
"2:networth.0.2",154,232.391541571816,-302.063961522522,610.063961522523,"7 %","Black",0.2
"3:networth.0.2",6062,1090.20291142312,3910.6451443107,8213.3548556893,"16 %","Latino",0.2
"1:networth.0.21",39816.4,3829.42350498677,32303.5411726956,47329.2588273044,"6 %","white",0.21
"2:networth.0.21",356,338.316203891772,-307.454903975959,1019.45490397596,"4 %","Black",0.21
"3:networth.0.21",6672,883.048218130995,4941.20775539914,8402.79224460086,"1 %","Latino",0.21
"1:networth.0.22",46032,4085.27065695986,38005.141686089,54058.858313911,"9 %","white",0.22
"2:networth.0.22",542,496.846912622022,-431.90906302531,1515.90906302531,"2 %","Black",0.22
"3:networth.0.22",6994,876.667928821943,5275.75640923242,8712.24359076758,"0 %","Latino",0.22
"1:networth.0.23",52506,4323.10949684272,44000.5848801491,61011.4151198509,"12 %","white",0.23
"2:networth.0.23",744,764.838832648354,-755.470833122235,2243.47083312224,"3 %","Black",0.23
"3:networth.0.23",7860,1242.82390565069,5351.59186381354,10368.4081361865,"34 %","Latino",0.23
"1:networth.0.24",58957,4531.55987924043,49894.6499849827,68019.3500150173,"28 %","white",0.24
"2:networth.0.24",1064,1020.45169278049,-938.010164076559,3066.01016407656,"6 %","Black",0.24
"3:networth.0.24",8866,1178.06370158358,6554.05785849106,11177.9421415089,"7 %","Latino",0.24
"1:networth.0.25",64621,3936.54366335653,56880.9644273862,72361.0355726138,"11 %","white",0.25
"2:networth.0.25",1834,1262.84862790744,-657.572644537226,4325.57264453723,"16 %","Black",0.25
"3:networth.0.25",9394.2,1095.51892362035,7246.04820343953,11542.3517965605,"4 %","Latino",0.25
"1:networth.0.26",71040,4955.51765980016,61067.4268428707,81012.5731571293,"32 %","white",0.26
"2:networth.0.26",2864.2,1292.50317045635,318.956378887254,5409.44362111275,"13 %","Black",0.26
"3:networth.0.26",9866,990.856659045338,7923.15936003183,11808.8406399682,"4 %","Latino",0.26
"1:networth.0.27",76713,4835.7899645021,67104.8316634338,86321.1683365662,"23 %","white",0.27
"2:networth.0.27",3658,1222.66985654639,1258.17705606341,6057.82294393659,"7 %","Black",0.27
"3:networth.0.27",10376,1060.11967749702,8298.19766730404,12453.802332696,"0 %","Latino",0.27
"1:networth.0.28",82212.2,3939.35792823151,74360.2390118576,90064.1609881424,"26 %","white",0.28
"2:networth.0.28",4036.4,1173.31164057451,1736.05476261009,6336.74523738991,"3 %","Black",0.28
"3:networth.0.28",11160.2,1463.04721340774,8260.25620313833,14060.1437968617,"21 %","Latino",0.28
"1:networth.0.29",87744,4775.64016725456,78085.7585533672,97402.2414466328,"35 %","white",0.29
"2:networth.0.29",4500,1268.27882341915,2007.5078219722,6992.4921780278,"10 %","Black",0.29
"3:networth.0.29",12314,1621.67001169759,9116.70273205825,15511.2972679418,"15 %","Latino",0.29
"1:networth.0.3",93430,5817.89121092413,81843.6212557127,105016.378744287,"25 %","white",0.3
"2:networth.0.3",5176,1510.06302528083,2203.62322873919,8148.37677126081,"13 %","Black",0.3
"3:networth.0.3",13372,1673.67382421949,10054.3742763009,16689.6257236991,"21 %","Latino",0.3
"1:networth.0.31",100798,5039.49889565277,90893.5835404322,110702.416459568,"10 %","white",0.31
"2:networth.0.31",6114.2,1713.773983515,2748.83905188337,9479.56094811663,"8 %","Black",0.31
"3:networth.0.31",13948,1517.10374943973,10964.8762089281,16931.1237910719,"11 %","Latino",0.31
"1:networth.0.32",108270,5096.41626523956,98251.7031238469,118288.296876153,"10 %","white",0.32
"2:networth.0.32",6922,1992.07686836476,2993.76533980485,10850.2346601952,"15 %","Black",0.32
"3:networth.0.32",14968.2,1657.77756229541,11680.0997740958,18256.3002259042,"21 %","Latino",0.32
"1:networth.0.33",115116,5689.33309870178,103847.84192366,126384.15807634,"20 %","white",0.33
"2:networth.0.33",7812,2109.82204797043,3654.70888184619,11969.2911181538,"14 %","Black",0.33
"3:networth.0.33",16398,1631.0051930049,13199.6838332854,19596.3161667146,"4 %","Latino",0.33
"1:networth.0.34",122912,5874.15785559619,111349.863632957,134474.136367043,"12 %","white",0.34
"2:networth.0.34",9138,2043.78969745118,5121.71921492703,13154.280785073,"10 %","Black",0.34
"3:networth.0.34",16996,1724.21164535632,13612.8379602309,20379.1620397691,"6 %","Latino",0.34
"1:networth.0.35",130148,5760.68343647474,118826.784303423,141469.215696577,"10 %","white",0.35
"2:networth.0.35",10238.2,1902.77675370165,6501.39135483187,13975.0086451681,"8 %","Black",0.35
"3:networth.0.35",18262,2002.48992309387,14268.6833860182,22255.3166139818,"26 %","Latino",0.35
"1:networth.0.36",139736,6468.62021943434,126820.63328252,152651.36671748,"27 %","white",0.36
"2:networth.0.36",11100,1788.58049700774,7576.9801329839,14623.0198670161,"14 %","Black",0.36
"3:networth.0.36",19314,2258.43327978845,14792.2322153406,23835.7677846594,"29 %","Latino",0.36
"1:networth.0.37",145664.2,6043.70879285496,133694.032653542,157634.367346458,"20 %","white",0.37
"2:networth.0.37",12066,1940.77351204966,8202.62290398372,15929.3770960163,"24 %","Black",0.37
"3:networth.0.37",20314,2556.97695256833,15260.5533681741,25367.4466318259,"18 %","Latino",0.37
"1:networth.0.38",154488,6496.0795067019,141675.129529869,167300.870470131,"15 %","white",0.38
"2:networth.0.38",12826,2106.66273275505,8656.64709830216,16995.3529016978,"19 %","Black",0.38
"3:networth.0.38",21992,3087.01053981951,15912.4660075618,28071.5339924382,"13 %","Latino",0.38
"1:networth.0.39",161736,7165.39099295437,147513.324785651,175958.675214349,"22 %","white",0.39
"2:networth.0.39",13738,2345.16021266445,9132.00624128123,18343.9937587188,"9 %","Black",0.39
"3:networth.0.39",23762,3710.16056080949,16415.3990890887,31108.6009109113,"20 %","Latino",0.39
"1:networth.0.4",169776,6618.62918523394,156733.029576554,182818.970423446,"14 %","white",0.4
"2:networth.0.4",14928,2836.78409572553,9336.07501300996,20519.92498699,"15 %","Black",0.4
"3:networth.0.4",25440,4175.96526140025,17131.6366812462,33748.3633187538,"24 %","Latino",0.4
"1:networth.0.41",178840,7091.85667854017,164675.164081422,193004.835918578,"27 %","white",0.41
"2:networth.0.41",16774,3396.5039509434,9995.02459295821,23552.9754070418,"27 %","Black",0.41
"3:networth.0.41",28142,4645.88314848704,18837.8062442666,37446.1937557334,"29 %","Latino",0.41
"1:networth.0.42",189372,9222.18341051912,171009.308596093,207734.691403907,"25 %","white",0.42
"2:networth.0.42",18499,3313.99717393089,11952.3170140895,25045.6829859105,"17 %","Black",0.42
"3:networth.0.42",30482,4853.44976033204,20897.4618499245,40066.5381500755,"17 %","Latino",0.42
"1:networth.0.43",199004,9380.37821734123,180559.377695275,217448.622304725,"11 %","white",0.43
"2:networth.0.43",20926,3795.62927751457,13179.0119294102,28672.9880705898,"40 %","Black",0.43
"3:networth.0.43",32956,5556.12864580068,21971.7945284871,43940.2054715129,"18 %","Latino",0.43
"1:networth.0.44",209814.2,9817.61908198999,190379.207312911,229249.192687089,"19 %","white",0.44
"2:networth.0.44",22730,3497.12815818259,15776.7828301786,29683.2171698214,"23 %","Black",0.44
"3:networth.0.44",35426,6305.9438421411,22997.2448222633,47854.7551777367,"14 %","Latino",0.44
"1:networth.0.45",220450,9673.92990271784,201296.113679986,239603.886320014,"20 %","white",0.45
