"","name","results","se","(lower","upper)","missInfo","year","race"
"1","1995.1",0.181018578396986,0.00759520426073464,0.166026832715346,0.196010324078626,"16 %",1994,"White"
"2","2022.1",0.67471394417636,0.00916635931191717,0.656650210967313,0.692777677385407,"14 %",2026,"White"
"3","1995.2",0.512770963835039,0.0230627459859861,0.467566301051377,0.557975626618702,"1 %",1994,"Black"
"4","2022.2",0.867323801242204,0.0113169569542539,0.845023279318094,0.889624323166314,"14 %",2026,"Black"
"5","1995.3",0.459319332917618,0.0303495194691621,0.399826646042659,0.518812019792577,"2 %",1994,"Latino"
"6","2022.3",0.859669334688678,0.0152093952383715,0.829679705926161,0.889658963451194,"15 %",2026,"Latino"
