"","results","se","(lower","upper)","missInfo","year","race","category"
"1",35.7312191017084,0.856394489795619,34.0457560669696,37.4166821364472,"12 %","1995","White","World Cup Final (Resale)"
"2",80.2449804115747,0.605140932193373,79.056888065102,81.4330727580474,"8 %","2022","White","World Cup Final (Resale)"
"3",63.8593546170272,2.09685752311117,59.7302524607515,67.9884567733028,"13 %","1995","Black","World Cup Final (Resale)"
"4",93.0953021424714,0.879040110213942,91.3665311714507,94.8240731134921,"11 %","2022","Black","World Cup Final (Resale)"
"5",63.3714764528717,3.46579152376292,56.5678109855743,70.1751419201691,"7 %","1995","Latino","World Cup Final (Resale)"
"6",93.0721980733059,1.03380051266905,91.0420845670804,95.1023115795314,"8 %","2022","Latino","World Cup Final (Resale)"
"7",33.0361959816205,0.877378048623645,31.306221181531,34.76617078171,"15 %","1995","White","World Cup Final (Face Value)"
"8",69.294264147805,0.891582459457078,67.5383997957902,71.0501284998198,"13 %","2022","White","World Cup Final (Face Value)"
"9",62.0121943312598,2.09170228096563,57.9058663199964,66.1185223425232,"8 %","1995","Black","World Cup Final (Face Value)"
"10",87.3743490010517,1.25909995015074,84.8526199809298,89.8960780211736,"29 %","2022","Black","World Cup Final (Face Value)"
"11",62.344006293,3.3854947292835,55.7018668482843,68.9861457377158,"6 %","1995","Latino","World Cup Final (Face Value)"
"12",87.0563312388138,1.48276908581121,84.1410405827216,89.971621894906,"11 %","2022","Latino","World Cup Final (Face Value)"
"13",18.1018578396986,0.759520426073464,16.6026832715346,19.6010324078626,"16 %","1995","White","Round of 16 (Face Value)"
"14",20.184111965376,0.740288353471433,18.7283730895252,21.6398508412269,"11 %","2022","White","Round of 16 (Face Value)"
"15",51.2770963835039,2.3062745985986,46.7566301051377,55.7975626618702,"1 %","1995","Black","Round of 16 (Face Value)"
"16",41.0521948614335,1.85456694744162,37.4099582213697,44.6944315014972,"8 %","2022","Black","Round of 16 (Face Value)"
"17",45.9319332917618,3.03495194691621,39.9826646042659,51.8812019792577,"2 %","1995","Latino","Round of 16 (Face Value)"
"18",43.1244362894205,2.03509345553478,39.1106556842669,47.1382168945742,"15 %","2022","Latino","Round of 16 (Face Value)"
"19",31.1053313493404,0.93859654015974,29.2204738749608,32.99018882372,"31 %","1995","White","Group Stage - Best Seats (Resale)"
"20",74.840356235384,0.818898507133738,73.2155996848268,76.4651127859413,"22 %","2022","White","Group Stage - Best Seats (Resale)"
"21",60.8688145550305,2.09927640282516,56.7333483957526,65.0042807143084,"14 %","1995","Black","Group Stage - Best Seats (Resale)"
"22",89.8610483646266,1.20765751008009,87.4487231485698,92.2733735806833,"27 %","2022","Black","Group Stage - Best Seats (Resale)"
"23",60.5612201500326,3.61288674974361,53.4571060437063,67.6653342563589,"11 %","1995","Latino","Group Stage - Best Seats (Resale)"
"24",89.2460016136416,1.34677350186234,86.5986872423123,91.893315984971,"10 %","2022","Latino","Group Stage - Best Seats (Resale)"
"25",17.0689184474686,0.726250827040656,15.6380749959571,18.49976189898,"14 %","1995","White","Group Stage (Face Value)"
"26",18.1286927026415,0.669327636954732,16.8138865840386,19.4434988212443,"9 %","2022","White","Group Stage (Face Value)"
"27",50.5783174972911,2.307607100476,46.055303902192,55.1013310923901,"1 %","1995","Black","Group Stage (Face Value)"
"28",37.7923004745709,1.94320427592525,33.9656483357819,41.61895261336,"13 %","2022","Black","Group Stage (Face Value)"
"29",44.2090629356179,3.07270084082678,38.1808082636312,50.2373176076047,"6 %","1995","Latino","Group Stage (Face Value)"
"30",39.598060044674,1.88502796525697,35.8879895131302,43.3081305762177,"12 %","2022","Latino","Group Stage (Face Value)"
"31",20.4761018809449,0.843862771372229,18.8057876754358,22.1464160864539,"19 %","1995","White","Group Stage (Resale)"
"32",39.1921764874081,0.919916201835963,37.3871238694667,40.9972291053495,"6 %","2022","White","Group Stage (Resale)"
"33",54.4533503501606,2.2908379910966,49.9585792560691,58.9481214442522,"6 %","1995","Black","Group Stage (Resale)"
"34",61.4746072076269,1.99137535697094,57.3670187719455,65.5821956433083,"45 %","2022","Black","Group Stage (Resale)"
"35",49.162050228479,2.9544481781291,43.3706222626092,54.9534781943487,"2 %","1995","Latino","Group Stage (Resale)"
"36",66.0054982076504,1.92127074986183,62.2276170909337,69.7833793243671,"11 %","2022","Latino","Group Stage (Resale)"
"37",78.632560223091,0.705510354015762,77.2422292323293,80.0228912138528,"14 %","2022","White","Follow USMNT through Group Stage"
"38",92.3162881382502,1.13678559974265,90.0602903061374,94.572285970363,"22 %","2022","Black","Follow USMNT through Group Stage"
"39",90.3067355490918,1.1710582368661,88.0105940804893,92.6028770176943,"4 %","2022","Latino","Follow USMNT through Group Stage"
"40",88.6171496864178,0.520870660457339,87.5803157004661,89.6539836723695,"24 %","2022","White","Follow a Team through Whole Tournament"
"41",96.7736540818021,0.688645561385327,95.4113862360107,98.1359219275936,"19 %","2022","Black","Follow a Team through Whole Tournament"
"42",96.0654453801258,0.831025715071342,94.4355734936672,97.6953172665844,"5 %","2022","Latino","Follow a Team through Whole Tournament"
