"name","results","se","(lower","upper)","missInfo","race","percentile"
"3:income.0.31",32643.5370741483,1381.43121211141,29918.1786239343,35368.8955243623,"16 %","Latino",0.31
"1:income.0.32",51658.9378757515,1216.80908252697,49248.8379035169,54069.0378479861,"20 %","white",0.32
"2:income.0.32",31346.4428857715,1895.42892829847,27631.4704510512,35061.4153204919,"0 %","Black",0.32
"3:income.0.32",33508.2665330661,1791.32070133938,29945.9101508659,37070.6229152663,"24 %","Latino",0.32
"1:income.0.33",52748.496993988,1294.75719716298,50189.1551996304,55307.8387883456,"18 %","white",0.33
"2:income.0.33",32427.3547094188,1696.11625934126,29103.0279275172,35751.6814913205,"0 %","Black",0.33
"3:income.0.33",34589.1783567134,1812.31294971954,31037.1102465476,38141.2464668793,"0 %","Latino",0.33
"1:income.0.34",54045.5911823647,1151.86596423782,51787.9753774411,56303.2069872884,"0 %","white",0.34
"2:income.0.34",33508.2665330661,1741.26515123596,30039.3567192059,36977.1763469263,"25 %","Black",0.34
"3:income.0.34",34589.1783567134,1883.33286257716,30897.9137751615,38280.4429382654,"0 %","Latino",0.34
"1:income.0.35",55558.867735471,1402.92689997849,52770.6615859019,58347.07388504,"23 %","white",0.35
"2:income.0.35",33940.6312625251,1664.82552357534,30654.7379901819,37226.5245348682,"16 %","Black",0.35
"3:income.0.35",35886.2725450902,2235.18886830751,31349.8487238431,40422.6963663373,"37 %","Latino",0.35
"1:income.0.36",56821.372745491,1574.64214655307,53712.6984340375,59930.0470569445,"16 %","white",0.36
"2:income.0.36",34372.995991984,1677.71128487248,31074.8381000803,37671.1538838876,"10 %","Black",0.36
"3:income.0.36",37399.5490981964,1879.21970021172,33600.4662368844,41198.6319595084,"35 %","Latino",0.36
"1:income.0.37",59017.7855711423,1584.21317648685,55886.173520286,62149.3976219986,"18 %","white",0.37
"2:income.0.37",35021.5430861723,1768.32762595631,31536.6070686143,38506.4791037304,"14 %","Black",0.37
"3:income.0.37",37831.9138276553,1271.34135609703,35340.1305576488,40323.6970976618,"0 %","Latino",0.37
"1:income.0.38",60098.6973947896,1553.12648232561,57026.3644693568,63171.0303202224,"19 %","white",0.38
"2:income.0.38",36102.4549098196,2020.05986100433,32050.6271610493,40154.28265859,"30 %","Black",0.38
"3:income.0.38",37831.9138276553,1035.7067210259,35801.9659558985,39861.8616994122,"0 %","Latino",0.38
"1:income.0.39",61828.1563126253,1774.13305492281,58245.5973652583,65410.7152599922,"34 %","white",0.39
"2:income.0.39",37183.3667334669,1861.1754755083,33519.183690561,40847.5497763729,"13 %","Black",0.39
"3:income.0.39",38048.0961923848,1137.69331746179,35786.1440586958,40310.0483260738,"23 %","Latino",0.39
"1:income.0.4",63341.4328657315,1725.20172974796,59808.4520571162,66874.4136743468,"42 %","white",0.4
"2:income.0.4",37615.7314629259,1862.60603794268,33957.8601964135,41273.6027294382,"8 %","Black",0.4
"3:income.0.4",38696.6432865731,1245.74821560884,36230.6645672764,41162.6220058699,"19 %","Latino",0.4
"1:income.0.41",65070.8917835671,1426.69513562572,62258.4715537473,67883.312013387,"15 %","white",0.41
"2:income.0.41",38480.4609218437,2001.12078673355,34545.1998348485,42415.7220088389,"11 %","Black",0.41
"3:income.0.41",38912.8256513026,1264.29981571151,36434.8435468474,41390.8077557578,"0 %","Latino",0.41
"1:income.0.42",66584.1683366733,1980.7924223635,62603.5047152515,70564.8319580952,"31 %","white",0.42
"2:income.0.42",39561.372745491,2071.66821353691,35489.1431165236,43633.6023744583,"10 %","Black",0.42
"3:income.0.42",39777.5551102204,1437.26935646095,36944.7662105804,42610.3440098605,"14 %","Latino",0.42
"1:income.0.43",68745.9919839679,2089.31838833805,64567.5647355681,72924.4192323677,"28 %","white",0.43
"2:income.0.43",40642.2845691383,2000.27556771637,36708.6633483839,44575.9057898927,"11 %","Black",0.43
"3:income.0.43",40426.1022044088,1503.44955033677,37448.1999513519,43404.0044574657,"20 %","Latino",0.43
"1:income.0.44",70043.0861723447,1597.58004696521,66900.408961892,73185.7633827974,"12 %","white",0.44
"2:income.0.44",41723.1963927856,1997.08183604119,37713.0700214363,45733.3227641349,"31 %","Black",0.44
"3:income.0.44",41074.6492985972,1625.67218057202,37819.1103965951,44330.1882005993,"29 %","Latino",0.44
"1:income.0.45",70907.8156312625,1877.46907595512,67111.826248264,74703.805014261,"35 %","white",0.45
"2:income.0.45",43020.2905811623,1587.29706590564,39897.5420225995,46143.0391397251,"12 %","Black",0.45
"3:income.0.45",41723.1963927856,1648.32723743866,38468.9381890232,44977.454596548,"16 %","Latino",0.45
"1:income.0.46",73285.8216432866,1821.3677858583,69708.2721264002,76863.371160173,"9 %","white",0.46
"2:income.0.46",43452.6553106212,1394.0479407351,40703.0515260599,46202.2590951826,"15 %","Black",0.46
"3:income.0.46",42804.1082164329,1830.47569777822,39199.2541177974,46408.9623150684,"13 %","Latino",0.46
"1:income.0.47",75015.2805611223,1784.07458042352,71499.9852852959,78530.5758369486,"14 %","white",0.47
"2:income.0.47",43885.0200400802,1684.1095519673,40420.4900777672,47349.5500023931,"44 %","Black",0.47
"3:income.0.47",43236.4729458918,1953.81001636457,39407.0756811836,47065.8702106,"0 %","Latino",0.47
"1:income.0.48",76420.4659318637,1773.77215267014,72901.1239313708,79939.8079323566,"22 %","white",0.48
"2:income.0.48",44749.749498998,1748.88970757854,41176.7530538756,48322.7459441204,"41 %","Black",0.48
"3:income.0.48",43668.8376753507,2268.45329577287,39213.7446566516,48123.9306940498,"8 %","Latino",0.48
"1:income.0.49",78474.1983967936,2150.54357516209,74182.8627580836,82765.5340355036,"26 %","white",0.49
"2:income.0.49",45398.2965931864,1757.88089091932,41898.4286986734,48898.1644876994,"25 %","Black",0.49
"3:income.0.49",45182.1142284569,2560.62975469067,40129.12037521,50235.1080817038,"16 %","Latino",0.49
"1:income.0.5",80636.0220440882,2027.38580305297,76649.7885468544,84622.255541322,"11 %","white",0.5
"2:income.0.5",46046.8436873747,1844.67307186836,42414.5594516247,49679.1279231247,"13 %","Black",0.5
"3:income.0.5",46911.5731462926,2670.47901756447,41638.0627318148,52185.0835607704,"17 %","Latino",0.5
"1:income.0.51",82149.2985971944,2071.82541899714,77953.243617357,86345.3535770319,"36 %","white",0.51
"2:income.0.51",46695.3907815631,2092.26376367415,42589.531522667,50801.2500404592,"7 %","Black",0.51
"3:income.0.51",48208.6673346693,2581.02060447296,43143.8503294313,53273.4843399074,"7 %","Latino",0.51
"1:income.0.52",84527.3046092184,2687.27079942627,78784.2827876835,90270.3264307533,"58 %","white",0.52
"2:income.0.52",47343.9378757515,2562.34388424002,42287.6536955353,52400.2220559677,"16 %","Black",0.52
"3:income.0.52",49289.5791583166,2556.43627447644,44272.7683020047,54306.3900146286,"7 %","Latino",0.52
"1:income.0.53",86256.7635270541,1906.39721310629,82513.5512094369,89999.9758446713,"8 %","white",0.53
"2:income.0.53",48857.2144288577,2738.79925167049,43486.9956878439,54227.4331698715,"4 %","Black",0.53
"3:income.0.53",51019.0380761523,2537.62585222954,46010.1824322367,56027.8937200679,"16 %","Latino",0.53
"1:income.0.54",88418.5871743487,2484.72844470792,83151.874569143,93685.2997795544,"55 %","white",0.54
"2:income.0.54",49938.126252505,3149.83634821708,43710.379148469,56165.873356541,"18 %","Black",0.54
"3:income.0.54",52099.9498997996,2171.47890516345,47839.3703640699,56360.5294355293,"6 %","Latino",0.54
"1:income.0.55",91228.9579158317,2839.33745614546,85381.2389655072,97076.6768661561,"44 %","white",0.55
"2:income.0.55",51883.7675350701,3325.18488144376,45294.4059428065,58473.1291273338,"20 %","Black",0.55
"3:income.0.55",53397.0440881764,2223.35134395931,48970.4171925305,57823.6709838222,"25 %","Latino",0.55
"1:income.0.56",93606.9639278557,2636.37283216272,88330.0130017064,98883.914854005,"29 %","white",0.56
